C_ACCTBAL,C_ADDRESS,C_COMMENT,C_CUSTKEY,C_MKTSEGMENT,C_NAME,C_NATIONKEY,C_PHONE
9957.560000000000000000,"{'csv_connection_csv_out.csv': {'0': '', '1': 'none', '2': '', '3': '', '4': '', '5': '', '6': '', '7': '', '8': '', '9': '', '10': '', '11': '', '12': '', '13': '', '14': '', '15': '', '16': ''}}",l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend,60001,HOUSEHOLD,Customer#000060001,14,24-678-784-9652
742.460000000000000000,ThGBMjDwKzkoOxhz, beans. fluffily regular packages,60002,BUILDING,Customer#000060002,15,25-782-500-8435
2526.920000000000000000,"Ed hbPtTXMTAsgGhCr4HuTzK,Md2",fully pending deposits sleep quickly. blithely unusual accounts across the blithely bold requests are quickly,60003,BUILDING,Customer#000060003,16,26-859-847-7640
7975.220000000000000000,"NivCT2RVaavl,yUnKwBjDyMvB42WayXCnky", furiously above the ironic packages. slyly brave ideas boost. final platelets detect according to the ironi,60004,AUTOMOBILE,Customer#000060004,10,20-573-674-7999
2504.740000000000000000,"1F3KM3ccEXEtI, B22XmCMOWJMl",express instructions sleep quickly. ironic braids cajole furiously fluffily p,60005,MACHINERY,Customer#000060005,12,22-741-208-1316
9051.400000000000000000,3isiXW651fa8p , carefully quickly even theodolites. boldly ,60006,MACHINERY,Customer#000060006,22,32-618-195-8029
6017.170000000000000000,"sp6KJmx,TiSWbMPvhkQwFwTuhSi4a5OLNImpcGI",bold packages. regular sheaves mold. blit,60007,FURNITURE,Customer#000060007,12,22-491-919-9470
5621.440000000000000000,3VteHZYOfbgQioA96tUeL0R7i,"nal courts. carefully regular Tiresias lose quickly unusual packages. regular, bold i",60008,AUTOMOBILE,Customer#000060008,2,12-693-562-7122
9548.010000000000000000,S60sNpR6wnacPBLeOxjxhvehf,efully even dependencies haggle furiously along the express packages. final requests boost,60009,FURNITURE,Customer#000060009,9,19-578-776-2699
3497.910000000000000000,c4vEEaV1tdqLdw2oVuXp BN,"fter the quickly silent requests. slyly special theodolites along the even, even requests boos",60010,HOUSEHOLD,Customer#000060010,21,31-677-809-6961
3422.480000000000000000,"Y GqUG1QEdWr8 zkApzAXLkjOe,XMnJvV6,",se carefully even deposits. carefully pending requests cajole furiously p,60011,BUILDING,Customer#000060011,8,18-421-991-6811
671.600000000000000000,q2JnIlgSVKxmu4be,ly. furiously regular deposits haggle about the carefully thin packages. carefull,60012,FURNITURE,Customer#000060012,23,33-106-408-1520
-485.690000000000000000,i3t71FC4ucTs8fIEfmPwJky,ecial foxes are blithely fluffily even pinto beans. ironic accounts boost. blithely regular packages h,60013,MACHINERY,Customer#000060013,0,10-394-817-3861
7932.150000000000000000,4PiiMY zaWY1W4hVpXEzdkRQrskLaq,ic ideas along the bold packages u,60014,FURNITURE,Customer#000060014,16,26-322-873-9166
4622.390000000000000000,B8yKNFkXHwpxjlVkt,unts. blithely special excuses haggle slyly express theodolites. quietly unusual packages sleep sly,60015,FURNITURE,Customer#000060015,9,19-719-262-9343
4480.970000000000000000,"i5JCEL8FRYSLvOs1Lkqn30a,1jherLDP","ongside of the final, pending dolphins? final theodolites ha",60016,HOUSEHOLD,Customer#000060016,2,12-259-973-3236
